"label","labelO","labelCi"
"Apertura straordinaria di Palazzo Pepoli Campogrande_Copia_Copia_Copia","Indirizzo della Sede di: Palazzo Pepoli Campogrande","Bologna"
"Tempus Captum. Il Tempo Catturato","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Apertura straordinaria della Pinacoteca Nazionale di Bologna","Indirizzo della Sede di: Pinacoteca Nazionale di Bologna","Bologna"
"Apertura straordinaria della Pinacoteca Nazionale di Bologna_Copia","Indirizzo della Sede di: Pinacoteca Nazionale di Bologna","Bologna"
"Lunedì 26 dicembre 2022 apertura straordinaria della Rocca roveresca di Senigallia.","Indirizzo della Sede di: Rocca Roveresca di Senigallia","Senigallia"
"Lunedì 26 dicembre 2022 apertura straordinaria della Rocca roveresca di Senigallia._Copia","Indirizzo della Sede di: Rocca Roveresca di Senigallia","Senigallia"
"Lunedì 26 dicembre 2022 apertura straordinaria della Rocca demaniale di Gradara.","Indirizzo della Sede di: Rocca demaniale di Gradara","Gradara"
"Lunedì 2 gennaio 2023 apertura straordinaria della Rocca demaniale di Gradara.","Indirizzo della Sede di: Rocca demaniale di Gradara","Gradara"
"Omaggio a Rocco Scotellaro","Indirizzo della Sede di: Sede Espositiva in Palazzo Ducale di Tricarico","Tricarico"
"Villa d'Este_lunedì 26 dicembre 2022 apertura straordinaria","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"Villa d'Este_ Lunedì 2 gennaio 2023 apertura straordinaria","Indirizzo della Sede di: Villa Adriana e Villa d'Este - Villa d'Este","Tivoli"
"Presentazione del libro di Ferruccio Diozzi: L'innovazione in biblioteca. Milano, Editrice Bibliografica, 2022","Indirizzo della Sede di: Biblioteca Universitaria di Napoli","Napoli"
"Pezzi da 90. L’umorismo d’autore","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Verrocchio e il suo mondo in un'opera misconosciuta: la pala Macinghi restaurata","Indirizzo della Sede di: Gallerie degli Uffizi – Gli Uffizi","Firenze"
"Il Presepe cortese","Indirizzo della Sede di: Museo archeologico nazionale di Napoli","Napoli"
"apertura straordinaria","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"apertura straordinaria 2 gennaio 2023","Indirizzo della Sede di: Museo archeologico nazionale di Reggio Calabria","Reggio di Calabria"
"Apertura straordinaria del Palazzo Reale di Napoli - Mercoledì 4 gennaio 2023","Indirizzo della Sede di: Palazzo Reale di Napoli","Napoli"
"Apertura Reggia di Caserta 26 dicembre_Copia","Indirizzo della Sede di: Reggia di Caserta - Palazzo Reale","Caserta"
"Apertura straordinaria Terme di Caracalla","Indirizzo della Sede di: Terme di Caracalla","Roma"
"L’ultimo lupo. Lettura teatrale con musica","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Presentazione del libro “Asinara mosaico di popoli. Campo di concentramento prigionieri di guerra 1915-1920” di Marisa Porcu Gaias","Indirizzo della Sede di: Biblioteca Universitaria di Sassari","Sassari"
"Musei, tornano le domeniche gratuite con #domenicalmuseo I 5 febbraio 2023","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"CAPODIMONTE PER IL GIORNO DELLA MEMORIA. I DIPINTI TRAFUGATI DURANTE LA SECONDA GUERRA MONDIALE","Indirizzo della Sede di: Museo e Real Bosco di Capodimonte","Napoli"
"Al Palazzo Reale di Napoli il coro di voci bianche del Teatro San Carlo celebra il Giorno della Memoria con un concerto dal titolo La storia di Brundibar","Indirizzo della Sede di: Palazzo Reale di Napoli","Napoli"
"27 gennaio 2023. Il Parco archeologico del Colosseo e la Comunità Ebraica di Roma insieme per il Giorno della Memoria","Indirizzo della Sede di: Parco archeologico del Colosseo - Foro Romano e Palatino","Roma"
"Il “Mese della Memoria” al Museo dei Brettii e degli Enotri","Indirizzo della Sede di: Museo dei Brettii e degli Enotri","Cosenza"
"""I personaggi lucchesi"" visite e laboratori per famiglie a Villa Guinigi","Indirizzo della Sede di: Museo nazionale di Villa Guinigi","Lucca"
"Anche le statue parlano - MAN Cividale del Friuli","Indirizzo della Sede di: Museo archeologico nazionale di Cividale del Friuli","Cividale del Friuli"
"“Giornata Dantedì. Il Sommo Poeta: Dante Alighieri”","Indirizzo della Sede di: Archivio di Stato di Agrigento","Agrigento"
"La sentinella del piccolo popolo di Silvio Ziliotto","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"#sguardi 22","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Il Sommo Poeta nella biblioteca di casa Andersen","Indirizzo della Sede di: Museo Hendrik Christian Andersen","Roma"
"Bartolomeo Pinelli. Visioni dantesche","Indirizzo della Sede di: Museo nazionale di Castel Sant'Angelo e Passetto di Borgo","Roma"
"Le figure femminili nei dipinti delle collezioni del museo_Copia","Indirizzo della Sede di: Museo nazionale di San Matteo","Pisa"
"La vita di UGAI nelle carte di Maria Viola Toschi approdanell'Archivio di Stato di Perugia","Indirizzo della Sede di: Archivio di Stato di Perugia","Perugia"
"Scontri titanici nello Stretto - spettacolo musicale","Indirizzo della Sede di: Archivio di Stato di Reggio Calabria","Reggio di Calabria"
"""Sulle Orme del Maestro. Aurelio De Felice, 1915-1996""","Indirizzo della Sede di: Archivio di Stato di Terni","Terni"
"Giornate Europee dell'Archeologia 2022 al Museo archeologico nazionale di Vibo Valentia","Indirizzo della Sede di: Museo archeologico nazionale ""Vito Capialbi""","Vibo Valentia"
"#sessualitàMuseumWeek","Indirizzo della Sede di: Museo archeologico nazionale delle Marche","Ancona"
"Visite guidate tematiche alle collezioni del museo per la Festa della Musica 2022","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Giornate Europee dell'Archeologia 2022 - ""Sulle orme di... Móse - Un Grande Progetto per salvare gli scavi dalle acque”","Indirizzo della Sede di: Museo nazionale archeologico della Sibaritide","Cassano all'Ionio"
"Giornate Europee dell'Archeologia 2022 - ""Crea il tuo reperto”","Indirizzo della Sede di: Museo nazionale archeologico della Sibaritide","Cassano all'Ionio"
"Parco Archeologico dell'Appia Antica. Mausoleo di Cecilia Metella e Chiesa di San Nicola. Rassegna Appia nel Mito","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Parco Archeologico dell'Appia Antica. Mausoleo di Cecilia Metella . Considerazioni sulla campagna di scavo al Castrum Caetani: un impianto medievale da riscoprire","Indirizzo della Sede di: Parco archeologico dell'Appia antica  - Mausoleo di Cecilia Metella e Chiesa di San Nicola","Roma"
"Parco Archeologico dell'Appia Antica. Parco Tombe della Via Latina. Presentazione dei saggi in onore di Giovanni Carbonara","Indirizzo della Sede di: Parco archeologico dell'Appia antica - Parco delle Tombe della via Latina e Basilica di Santo Stefano","Roma"
"Le Giornate Europee dell'Archeologia a Paestum e Velia: visite ai cantieri e apertura dei depositi del museo di Paestum","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Paestum","Capaccio Paestum"
"Giornate Europee dell'Archeologia","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Area archeologica di Velia","Ascea"
"TORNANO LE VISITE AI DEPOSITI DEL MUSEO DI PAESTUM, SABATO 18 GIUGNO 2022.","Indirizzo della Sede di: Parco archeologico di Paestum e Velia - Museo archeologico nazionale","Capaccio Paestum"
"Ad maiora et meliora semper. 400 anni di pergamene di laurea in Archivio","Indirizzo della Sede di: Archivio di Stato di Avellino","Avellino"
"Mostra documentaria “Barletta e il puzzle della sua Storia“","Indirizzo della Sede di: Archivio di Stato di Bari. Sezione di Barletta","Barletta"
"Mostra documentaria “L’Archivio si presenta”","Indirizzo della Sede di: Archivio di Stato di Bari. Sezione di Trani ","Trani"
"Domenica di carta","Indirizzo della Sede di: Archivio di Stato di Grosseto","Grosseto"
"Domenica di carta","Indirizzo della Sede di: Archivio di Stato di Massa","Massa"
"Domenica di carta 2022","Indirizzo della Sede di: Archivio di Stato di Matera","Matera"
"MOSTRA DOCUMENTARIA","Indirizzo della Sede di: Archivio di Stato di Reggio Calabria","Reggio di Calabria"
"Domenica di carta 2022 - Donne e uomini di mare. Costruire la memoria con i documenti d’archivio - Archivio di Stato di Trieste","Indirizzo della Sede di: Archivio di Stato di Trieste","Trieste"
"Tra segni e suoni: apertura straordinaria","Indirizzo della Sede di: Biblioteca Nazionale  Sagarriga Visconti Volpi","Bari"
"REVIVALS. Convegno finale del Dottorato di ricerca in Studi Linguistici, Filologici, Letterari.","Indirizzo della Sede di: Biblioteca Statale di Macerata","Macerata"
"Il Conte Ugolino e la fame","Indirizzo della Sede di: Biblioteca Universitaria di Cagliari","Cagliari"
"Poesie del Camminare di Carlo Marconi","Indirizzo della Sede di: Biblioteca Universitaria di Pavia","Pavia"
"Lettura pubblica Roma da Goethe ad Anders passando per Hiroshima - Domenica di carta 2022","Indirizzo della Sede di: Biblioteca Vallicelliana di Roma","Roma"
"""Leggimi 0-6 mesi: attesa, voce e movimento"", il 9 ottobre per la ""Domenica di Carta"" 2022 l'incontro online del Centro per il libro e la lettura","Indirizzo della Sede di: Centro per il libro e la lettura","Roma"
"ICBSA-DOMENICA DI CARTA 2022","Indirizzo della Sede di: Istituto Centrale per i Beni Sonori ed Audiovisivi","Roma"
"Il 9 ottobre torna la Giornata Nazionale delle Famiglie al Museo FAMu.","Indirizzo della Sede di: Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"Barcolana e F@mu! Un weekend da non perdere!","Indirizzo della Sede di: Museo Storico e il Parco del Castello di Miramare","Trieste"
"Max Ernst","Indirizzo della Sede di: Palazzo Reale di Milano","Milano"
"Giornata nazionale delle famiglie al Museo : Laboratorio  “I nostri antenati Etruschi”_Copia","Indirizzo della Sede di: Parco archeologico di Cerveteri e Tarquinia - Museo archeologico nazionale di Tarquinia","Tarquinia"
"Giornata nazionale delle famiglie al Museo : Laboratorio  “I nostri antenati Etruschi”","Indirizzo della Sede di: Parco archeologico di Cerveteri e Tarquinia - Necropoli della Banditaccia","Cerveteri"
"F@mu 2022 alla Pinacoteca nazionale di Siena","Indirizzo della Sede di: Pinacoteca nazionale di Siena","Siena"
"Rocca Roveresca, Senigallia - Giornata Nazionale delle Famiglie al Museo","Indirizzo della Sede di: Rocca Roveresca di Senigallia","Senigallia"
"Domenica di carta 2022","Indirizzo della Sede di: Soprintendenza Archivistica e Bibliografica della Lombardia","Milano"
"Giornate del Contemporaneo 2022 a Villa Brandi","Indirizzo della Sede di: Villa Brandi","Siena"
"FAMu2022 a S. Maria C.V./ Visite guidate, laboratori, sport e yoga_Copia","Indirizzo della Sede di: Anfiteatro campano","Santa Maria Capua Vetere"
"Domenica di carta 2022","Indirizzo della Sede di: Archivio di Stato di Bologna, Sezione di Imola","Imola"
"Domenica di carta 2022","Indirizzo della Sede di: Archivio di Stato di Pordenone","Pordenone"
"Apertura straordinaria dell'Archivio di Stato di Roma in occasione della Domenica di carta 2022","Indirizzo della Sede di: Archivio di Stato di Roma","Roma"
"Genius Loci: l’alfabeto del segno e della materia","Indirizzo della Sede di: Direzione Regionale Musei Piemonte","Cherasco"
"Ottobre a porte aperte. La Direzione regionale musei della Toscana potenzia la propria offerta culturale con riaperture e nuovi orari di visita dei musei.","Indirizzo della Sede di: Direzione Regionale Musei Toscana","Firenze"
"AL CENTRO DI ROMA/ ""Pensieri di terracotta, scritture di bronzo. Algardi e il Battesimo di Cristo"" – Martedì 11 ottobre","Indirizzo della Sede di: Istituto autonomo Vittoriano e Palazzo Venezia - Palazzo Venezia","Roma"
"FAMu2022 a S. Maria C.V./ Visite guidate, laboratori, sport e yoga","Indirizzo della Sede di: Museo archeologico dell'antica Capua e Mitreo","Santa Maria Capua Vetere"
"F@MU 2022 al Museo archeologico nazionale di Crotone","Indirizzo della Sede di: Museo archeologico nazionale di Crotone","Crotone"
"F@MU 2022 al Museo dei Brettii e degli Enotri","Indirizzo della Sede di: Museo dei Brettii e degli Enotri","Cosenza"
"F@Mu 2022 al Museo diocesano di Reggio Calabria","Indirizzo della Sede di: Museo diocesano Mons. Aurelio Sorrentino","Reggio di Calabria"
"F@MU 2022 al Museo nazionale archeologico della Sibaritide","Indirizzo della Sede di: Museo nazionale archeologico della Sibaritide","Cassano all'Ionio"
"Mostra documentaria ""Omaggio allo scultore Cesare Fantacchiotti, nel centenario della sua morte 1922-2022""","Indirizzo della Sede di: Museo nazionale di Casa Giusti","Monsummano Terme"
"Le nuove sfide del paesaggio","Indirizzo della Sede di: Villa Romana e Antiquarium","Desenzano del Garda"
"Apertura straordinaria Area Archeologica di Carsulae","Indirizzo della Sede di: Area archeologica di Carsulae","Terni"
"Apertura straordinaria Castello Bufalini","Indirizzo della Sede di: Castello Bufalini","San Giustino"
"LE LEZIONI DELLA STORIA | IL MERCATO DELL’ARTE. L’ARTE NEL MERCATO. MARTEDÌ 10 GENNAIO 2023 Guido Guerzoni  Il mercato dell'arte: prospettive globali e tendenze in atto","Indirizzo della Sede di: Gallerie dell'Accademia di Venezia","Venezia"
"Apertura straordinaria Ipogeo dei Volumni e Necropoli del Palazzone","Indirizzo della Sede di: Ipogeo dei Volumni e Necropoli del Palazzone","Perugia"
"Apertura straordinaria e visite gratuite con un approfondimento sull’affresco ""Benedetto scacciatore di demoni""","Indirizzo della Sede di: Museo archeologico nazionale “Gaio Cilnio Mecenate”","Arezzo"
"Apertura straordinaria Museo Archeologico Nazionale dell'Umbria","Indirizzo della Sede di: Museo archeologico nazionale dell'Umbria","Perugia"
"Apertura straordinaria e visite con il direttore alla mostra ""Tesori dalle terre d’Etruria. La collezione dei conti Passerini, Patrizi di Firenze e Cortona","Indirizzo della Sede di: Museo archeologico nazionale di Firenze","Firenze"
"Apertura straordinaria Museo Archeologico Nazionale di Orvieto","Indirizzo della Sede di: Museo archeologico nazionale di Orvieto","Orvieto"
"Apertura straordinaria Museo Archeologico Nazionale e Teatro Romano di Spoleto_Copia","Indirizzo della Sede di: Museo archeologico nazionale e Teatro romano di Spoleto","Spoleto"
"1 gennaio. Domenica gratuita al Museo e Real Bosco di Capodimonte","Indirizzo della Sede di: Museo di Capodimonte","Napoli"
"Domenica al Museo alla Reggia di Caserta: apertura 1 gennaio 2023","Indirizzo della Sede di: Reggia di Caserta","Caserta"
"Domenica al museo alla Reggia di Caserta: 1° gennaio 2023","Indirizzo della Sede di: Reggia di Caserta","Caserta"
"Domenicalmuseo Il 1° gennaio aprono i luoghi della cultura della Soprintendenza Archeologia belle arti e paesaggio per le province di Caserta e Benevento","Indirizzo della Sede di: Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento","Caserta"
"Apertura straordinaria Teatro Romano e Antiquarium di Gubbio","Indirizzo della Sede di: Teatro romano e Antiquarium di Gubbio","Gubbio"
"Apertura straordinaria Tempietto sul Clitunno","Indirizzo della Sede di: Tempietto sul Clitunno","Campello sul Clitunno"
"SMENS. La xilografia in rivista","Indirizzo della Sede di: Musei Reali - Biblioteca Reale","Torino"
"Insula Insularum. La Maddalena e Caprera oltre Garibaldi","Indirizzo della Sede di: Museo Archeologico Nazionale di Cagliari","Cagliari"
"Testimonianze di cultura ebraica nella Biblioteca Medicea Laurenziana","Indirizzo della Sede di: Biblioteca Medicea Laurenziana","Firenze"
"Presentazione volume","Indirizzo della Sede di: Biblioteca Statale di Cremona","Cremona"
"Giornata della Memoria 2023. Proposte di lettura.","Indirizzo della Sede di: Biblioteca Statale di Macerata","Macerata"
"Giornata della memoria","Indirizzo della Sede di: Biblioteca statale Isontina di Gorizia","Gorizia"
"Presentazione del restauro e della digitalizzazione del Ms. Parmense 3592 della Biblioteca Palatina","Indirizzo della Sede di: Complesso monumentale della Pilotta","Parma"
