"o","labelOO"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20411","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per l'area Metropolitana di Roma e per la Provincia di Rieti"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20418","Sede di Museo archeologico nazionale delle Marche"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20503","Sede di Archivio di Stato di Ascoli Piceno"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20505","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20508","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20521","Sede di Soprintendenza Archeologia, Belle Arti e Paesaggio per le province di Caserta e Benevento"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20522","Sede di Archivio di Stato di Fermo"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20573","Sede di Complesso Monumentale della Pilotta"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20576","Sede di Archivio di Stato di Novara"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20578","Sede di Archivio di Stato di Brescia"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20580","Sede di Archivio di Stato di Trapani"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20583","Sede di Museo nazionale Concordiese di Portogruaro"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20587","Sede di Parco archeologico dell'Appia antica - Villa dei Quintili e Santa Maria Nova"
"http://dati.beniculturali.it/mibact/eventi/resource/Site/Sede_di_20591","Sede di Soprintendenza Archivistica e Bibliografica del Veneto e del Trentino Alto-Adige"
