,topic,lat,long
211,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100116,40.313786,16.229853
212,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100117,40.40366,16.688118
213,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100120,40.666378,16.60432
214,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100121,40.66169,16.607788
215,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100122,40.292824,16.561077
216,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100123,40.666,16.61196
217,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100126,40.402573,16.230324
218,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100132,40.168716,16.44216
219,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100134,40.794033,15.938958
220,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100135,40.79313,15.937512
221,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100136,40.586502,16.037401
222,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100138,40.036346,16.33499
223,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100141,40.84597,16.037825
224,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100142,40.090878,16.010853
225,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100143,40.458614,15.971578
226,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100144,41.04906,15.800426
227,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100146,40.99584,15.645328
228,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100147,40.298164,15.99406
229,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100149,40.75287,15.488292
230,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100151,40.93141,15.985477
231,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100152,40.83605,15.398804
232,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100155,40.64782,15.801965
233,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100161,40.022213,16.136091
234,http://dati.beniculturali.it/mibact/luoghi/resource/CulturalInstituteOrSite/100163,40.545155,15.638878
