,p,predicate
330,https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertySpecification,28367
331,https://w3id.org/italia/onto/CLV/officialStreetName,28275
332,https://w3id.org/italia/onto/CPV/dateOfBirth,28052
333,http://purl.org/dc/terms/available,27565
334,http://xmlns.com/foaf/0.1/primaryTopic,27565
335,https://w3id.org/italia/onto/CLV/hasStreetToponym,27477
336,https://w3id.org/arco/ontology/construction-description/hasConstructionSpace,27233
337,https://w3id.org/arco/ontology/context-description/relatedWorkLocation,26942
338,https://w3id.org/arco/ontology/context-description/hasCopyright,26188
339,https://w3id.org/italia/onto/SM/hasTelephoneNumber,26025
340,https://w3id.org/italia/onto/CPV/dateOfDeath,25699
341,http://lod.xdams.org/reload/oad/hasProduction,24118
342,https://w3id.org/italia/onto/CLV/long,23939
343,https://w3id.org/italia/onto/CLV/lat,23939
344,https://w3id.org/arco/ontology/arco/positionInSequence,23406
345,http://purl.org/dc/elements/1.1/extent,23048
346,https://w3id.org/arco/ontology/denotative-description/hasCulturalPropertyAccessibility,22140
347,http://purl.org/dc/terms/isPartOf,22020
348,http://lod.xdams.org/reload/oad/has_level,22017
349,https://w3id.org/arco/ontology/context-description/hasCopyrightHolder,21853
350,http://purl.org/dc/terms/subject,21664
351,https://w3id.org/italia/onto/TI/startTime,21481
352,https://w3id.org/italia/onto/TI/endTime,21481
353,http://purl.org/dc/terms/provenance,21456
354,http://lod.xdams.org/reload/oad/title,21455
355,http://lod.xdams.org/reload/oad/referenceCode,21455
356,http://dati.beniculturali.it/cis/isInSite,21455
357,http://lod.xdams.org/reload/oad/startDate,21454
358,http://lod.xdams.org/reload/oad/endDate,21454
359,https://w3id.org/italia/onto/SM/emailAddress,21441
360,https://w3id.org/italia/onto/SM/hasEmailType,21428
361,http://dati.beniculturali.it/cis/isHostedBySite,21165
362,https://w3id.org/arco/ontology/cataloguing-campaign/hasStatus,21069
363,https://w3id.org/italia/onto/CPV/hasDeathPlace,20971
364,https://w3id.org/arco/ontology/location/hasAltitude,20431
365,https://w3id.org/italia/onto/CLV/toponymQualifier,20389
366,https://w3id.org/arco/ontology/denotative-description/hasWritingSystem,20056
367,https://w3id.org/arco/ontology/location/alt,18964
